ts,src_ip,dst_ip,sport,query,record_type,response_size,subdomain_length,subdomain_entropy,hex_ratio,query_rate_per_min,risk_score,risk_level,prediction
1775898417.844884,10.0.0.77,8.8.8.8,42339,a2d0807038125679a7a11887d67ca0448510a581c8fedac404.tunnel.attacker-c2.net,TXT,253,56,3.9474446020857985,0.9107142857142857,3.7065310598936643,87.5,High,TUNNEL
1775899672.323163,10.0.0.77,8.8.8.8,41211,160679b835518e58b2e2994dab2462f37ad553fa1963b958691f8485a3cbd87.tunnel.attacker-c2.net,NULL,333,69,4.088001227107718,0.927536231884058,3.7065310598936643,86.1,High,TUNNEL
1775899583.772478,10.0.0.42,8.8.8.8,23742,n0meci7u897fvi33bt6t56xvruq41dxtzyywov/ws6zzs28+hee.d2.evil-c2.io,MX,286,53,4.864251822283626,0.4528301886792453,3.0658789241805042,86.0,High,TUNNEL
1775898581.48904,10.0.0.77,8.8.8.8,13238,a1f53376243c7a101b11ef0d0fe38a7d2095ee747b5508359b0a644b60d684d.tunnel.attacker-c2.net,CNAME,276,69,4.1256389161209075,0.927536231884058,3.7065310598936643,85.5,High,TUNNEL
1775898553.735728,10.0.0.77,8.8.8.8,15640,92c117e8529cbd56447cf9dc3bfe499585db9638568b3f07d0aafb108649090.tunnel.attacker-c2.net,CNAME,327,69,4.145363414656414,0.927536231884058,3.7065310598936643,85.4,High,TUNNEL
1775900303.462371,10.0.0.42,8.8.8.8,45147,z0qdpxolpz/wrj9evscktc4zln1uh9n1s3vipx4fu77birqzln8mug.d5.evil-c2.io,CNAME,266,56,4.896291529045928,0.3392857142857143,3.0658789241805042,85.3,High,TUNNEL
1775899867.148969,10.0.0.77,8.8.8.8,24173,45bf3469b5118e357287364a39b4fc26e3dbd8900a355658d96a370e53db736.tunnel.attacker-c2.net,NULL,280,69,4.067799819814767,0.927536231884058,3.7065310598936643,85.2,High,TUNNEL
1775899036.490464,10.0.0.77,8.8.8.8,41585,27205b977a856936a90749a6d71dd791e886538c1d28602edc.tunnel.attacker-c2.net,NULL,295,56,4.02659109325597,0.9107142857142857,3.7065310598936643,84.6,High,TUNNEL
1775899081.012544,10.0.0.77,8.8.8.8,60536,63bf310c55687fe4defcb11f1ff1d0982e5fe33e322b484fcb3aeeb5519134f.tunnel.attacker-c2.net,CNAME,303,69,3.9735065237759764,0.927536231884058,3.7065310598936643,83.8,High,TUNNEL
1775898448.015111,10.0.0.77,8.8.8.8,13068,a54769659438962ad4fe1607dfb31368dc6e159ea434568f08a38460ac8c57c.tunnel.attacker-c2.net,NULL,331,69,4.085004037317566,0.927536231884058,3.7065310598936643,83.6,High,TUNNEL
1775899169.504528,10.0.0.77,8.8.8.8,27759,25bc8e2c8a459c29a4eb3a7bb5f4611c1e8bfbbaa19cdafac5e87c655e7b.tunnel.attacker-c2.net,CNAME,241,66,3.952015991657277,0.9242424242424242,3.7065310598936643,83.2,High,TUNNEL
1775899639.975973,10.0.0.42,8.8.8.8,54217,lagiyeovxxfq8fknvlsq0drkj4ul4iptgjdbjm7ox/hroenozpr2v.d6.evil-c2.io,MX,266,55,4.7899174405613705,0.2909090909090909,3.0658789241805042,82.8,High,TUNNEL
1775899369.485078,10.0.0.77,8.8.8.8,60794,38b23e9cf9f162eadbe8bce9f348343ee0ff4648560a4ca16cc8e06e9bc0955.tunnel.attacker-c2.net,NULL,329,69,4.004079270281712,0.927536231884058,3.7065310598936643,81.7,High,TUNNEL
1775898808.904759,10.0.0.42,8.8.8.8,54901,kqktio/knetlykigjwcvnckomifirktzzvcgd9bl3u61pu1xhamyka7.d1.evil-c2.io,MX,272,57,4.7115541025701155,0.2982456140350877,3.0658789241805042,81.7,High,TUNNEL
1775899179.967323,10.0.0.77,8.8.8.8,27401,37d812428c088820ae3410627282b27194a7a45d7e91e88ac306c3668c6f4.tunnel.attacker-c2.net,NULL,299,67,4.021167833880242,0.9253731343283582,3.7065310598936643,81.6,High,TUNNEL
1775898977.68928,10.0.0.77,8.8.8.8,28817,f44c3888b518ea93422b79d4cd669d7284a6a4969286f06a668266f5d2c0e4.tunnel.attacker-c2.net,NULL,292,68,4.000605078854248,0.9264705882352942,3.7065310598936643,81.4,High,TUNNEL
1775898728.30887,10.0.0.77,8.8.8.8,44459,e7930615b545ba1549214d44bb62b03e6c45745cb61679bb9604dace771.tunnel.attacker-c2.net,NULL,310,65,3.9031584905383867,0.9230769230769231,3.7065310598936643,80.9,High,TUNNEL
